,store_number,city,country,latitude,longitude,ownership_type,opening_time
208,20064-199146,Jakarta,ID,-6.20336,106.816048,LS,"('23', '23', 'AM')"
209,53674-285934,Jakarta,ID,-6.197758,106.837196,LS,"('23', '23', 'AM')"
210,26694-245068,Jakarta,ID,-6.2027,106.816,LS,"('23', '23', 'AM')"
211,3842-150708,Tangerang,ID,-6.273243,106.74305,LS,"('8', '00', 'AM')"
212,55059-288844,Tangerang,ID,-6.273383,106.723341,LS,"('23', '23', 'AM')"
213,19462-199168,Tangerang,ID,-6.29459,106.715304,LS,"('8', '00', 'AM')"
214,17449-182009,Banten,ID,-6.28195,106.70805,LS,"('7', '00', 'AM')"
215,58780-293055,Tangerang,ID,-6.272596,106.699243,LS,"('23', '23', 'AM')"
216,61168-295559,Tangerang,ID,-6.31767,106.746637,LS,"('23', '23', 'AM')"
217,59094-293286,Tangerang,ID,-6.34313,106.729785,LS,"('23', '23', 'AM')"
218,57534-291669,Tangerang,ID,-6.20385,106.716774,LS,"('23', '23', 'AM')"
219,4137-153864,Tangerang,ID,-6.2577,106.65741,LS,"('7', '00', 'AM')"
220,16824-150713,Tangerang,ID,-6.2577,106.6575,LS,"('10', '00', 'AM')"
221,67499-302331,Tangerang Selatan,ID,-6.260495,106.65321,LS,"('23', '23', 'AM')"
222,31922-118770,Tangerang,ID,-6.26205,106.65352,LS,"('9', '00', 'AM')"
223,56106-290036,Tangerang,ID,-6.286064,106.66568,LS,"('23', '23', 'AM')"
224,47345-257768,Tangerang,ID,-6.284558,106.640738,LS,"('23', '23', 'AM')"
225,50778-276268,Tangerang,ID,-6.22352,106.648745,LS,"('23', '23', 'AM')"
226,57061-291068,Tangerang,ID,-6.25817,106.618126,LS,"('23', '23', 'AM')"
227,18976-197424,Tangerang,ID,-6.214776,106.676903,LS,"('6', '00', 'AM')"
228,31921-116544,Banten,ID,-6.2138,106.683278,LS,"('6', '00', 'AM')"
229,31008-143884,Tangerang,ID,-6.226598,106.609512,LS,"('10', '00', 'AM')"
230,22946-295835,Tangerang,ID,-6.220037,106.614513,LS,"('23', '23', 'AM')"
231,54527-286788,Tangerang,ID,-6.227058,106.607413,LS,"('23', '23', 'AM')"
232,49066-266884,Bogor,ID,-6.232041,106.591464,LS,"('23', '23', 'AM')"
233,18230-184485,Banten,ID,-6.188108,106.642204,LS,"('23', '23', 'AM')"
234,62922-297546,Tangerang,ID,-6.186256,106.657552,LS,"('23', '23', 'AM')"
235,60555-294828,Tangerang,ID,-6.197534,106.701862,LS,"('23', '23', 'AM')"
236,18639-193784,Tangerang,ID,-6.17831,106.63189,LS,"('7', '00', 'AM')"
237,20603-199124,Tangerang,ID,-6.16765,106.63881,LS,"('23', '23', 'AM')"
238,26488-220797,Jakarta,ID,-6.18855,106.733878,LS,"('23', '23', 'AM')"
